"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120846","2022-02-14","2022-02-12","explosion of strobe like lights in cloud","Dell Rapids","SD, US",""
"120845","2022-02-14","2021-06-13","I was looking out over the cow pasture behind my house and saw a a floating orb. I have a video of it I can email to you.","Marble Hill","MO, US",""
"120844","2022-02-14","2022-02-10","UFO discovered after taking pics of clouds","League City","TX, US",""
"120843","2022-02-14","2017-03-15","Hovered, turned to follow, last saw ball of light shoot away","shreveport","LA, US",""
"120842","2022-02-14","2021-09-06","Several different Crafts together in formation","Willis","TX, US",""
"120841","2022-02-14","2022-02-10","hovering for a while","south sheilds","GB",""
"120840","2022-02-14","2022-02-13","Spotted and recorded a vessel in the sky flying very low it appeared invisible","Willis","TX, US",""
"120839","2022-02-14","2021-12-11","Observed following flight from Atlanta to Cincinnati","Nashville","TN, US",""
"120838","2022-02-14","2022-02-10","Satellite like object suddenly changing direction.","Catskill","NY, US",""
"120837","2022-02-14","2017-12-22","Video and several photos of some craft with plume tail","Salem","OR, US",""
"120836","2022-02-13","2022-01-26","Object appears to spin around like a gyro.","Humptulips","WA, US",""
"120835","2022-02-13","2022-02-12","White orb","Millsboro","DE, US",""
"120834","2022-02-13","2022-02-12","Tic tac ship back in 5 days","Palm.beach gardens","FL, US",""
"120833","2022-02-13","2022-02-13","White light travelling above trees","Bellbird Park","AU",""
"120832","2022-02-13","2020-01-07","Cylindrical UFO north of San Antonio JAN 7, 2020 at 5:52 am.","Spring Branch","TX, US",""
"120831","2022-02-13","2022-02-12","Seen a light blinking in and out as it traveled","Tillamook","OR, US",""
"120830","2022-02-13","2022-02-11","A bright colored object over the Hudson River","Woodcliff lake","NJ, US",""
"120828","2022-02-12","2021-09-20","Glowing orb","Scotch plains","NJ, US",""
"120827","2022-02-12","1982-11-01","Bright light on me. Massive silent craft hovered over us. Started to move, no sound, zipped off fast.","Wells","NV, US",""
"120826","2022-02-12","2022-02-11","Spotted bright “star” and it began to move in a weird way. Watched for over 40 minutes as it pulsated and danced. Zoom in to see it change size/color","Portland","OR, US",""
