"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120779","2022-02-09","2020-10-21","Orange beam of light following car","Carver","MA, US",""
"120778","2022-02-09","2021-11-15","Large bright light that changed in size and color, and intensity","Huntington Beach","CA, US",""
"120777","2022-02-09","2022-01-28","Two big star like objects hovering","Šmartno pri Litiji","SI",""
"120776","2022-02-09","2022-02-09","Object Streaked across at high rate of speed.","San Bernardino","CA, US",""
"120775","2022-02-09","2022-02-08","Two golden glowing upside down stacked baskets","Mardela Springs","MD, US",""
"120774","2022-02-09","2022-02-09","Silver UAP sighted while traveling on I-526 toward West Ashley over Westmoreland Bridge","Charleston","SC, US",""
"120773","2022-02-09","","","","US",""
"120772","2022-02-09","2022-02-09","I have attached 2 videos and several still pictures. With use of an IPhone 13 Pro lens","Panama City Beach","FL, US",""
"120771","2022-02-09","2022-02-08","I was driving in the freeway and saw one giant object that was being followed by a second object","Houston","TX, US",""
"120770","2022-02-09","","I recorded a video of a group of lights moving north to south","Kissimmee","FL, US",""
"120769","2022-02-09","2021-10-20","Star like objects traversed sky from SW to NE in one minute","La Mesa","CA, US",""
"120768","2022-02-09","2022-02-02","7am on my way to work a ball of fire was hoovering in the SE ski","Parkland county","AB, CA",""
"120767","2022-02-09","2022-02-06","Saw a cloud streak from sky into centre of dove park  snapped pictures. Didnt see with my etes but noticed in puctures","Richmond hill","ON, CA",""
"120766","2022-02-09","2021-12-29","Blue Orb in the sky","WESTMINSTER","CO, US",""
"120765","2022-02-08","2022-01-27","3 glowing lights moving in a straight line","Philadelphia","PA, US",""
"120764","2022-02-08","2022-02-08","Flying orb","Calgary","AB, CA",""
"120763","2022-02-08","2022-02-08","Sighting from third-floor apartment","Saugus","MA, US",""
"120762","2022-02-08","2022-02-05","What looked like burning orbs of fire moving from south to north","Porter","TX, US",""
"120761","2022-02-08","2022-02-08","Looked like a satellite","Dahlonega","GA, US",""
"120760","2022-02-08","2022-02-08","Brightly lighted triangular craft hovering above house","Omaha","NE, US",""
