"Case Number","Date Submitted","Date of Event","Short Description","City","State/Country","Attachments"
"120599","2022-01-30","2022-01-29","Bright multicolored shape shifting light second night in a row out here we’ve seen it","Dayti.","NV, US",""
"120598","2022-01-29","2022-01-29","Star like orb avoiding air traffic moving in loops and changing direction and altitute.","cope","CO, US",""
"120597","2022-01-29","2022-01-29","Capsule shape, 3 main lights, 8 rim lights","Buffalo","NY, US",""
"120596","2022-01-29","2022-01-29","15 to 20 Orange orbs below cloud line","Phoenix","AZ, US",""
"120595","2022-01-29","2021-07-05","Black object","Tacloban","PH",""
"120594","2022-01-29","2021-10-30","UFO/UAP in the CENTRE of LONDON","LONDON","GB",""
"120593","2022-01-29","2021-06-16","Looked similar to old outside TV antenna","Boiling springs","SC, US",""
"120592","2022-01-29","2022-01-28","Many triangular crafts around normal stars","Yelm","WA, US",""
"120591","2022-01-29","2022-01-24","A magnetic anomaly has occurred on node: 40 Mag:30.00, Compass:288.16, Accel:1.01, Time:2022-1-24,11:49:48 GMT","Kansas City","MO, US",""
"120590","2022-01-29","2020-09-25","Three people saw a strange light in the sky","Mesa","AZ, US",""
"120589","2022-01-29","2022-01-28","Couple sees huge orbs I bring in the night sky while hiking on a fire Trail","Castro Valley","CA, US",""
"120588","2022-01-29","2022-01-29","Bright light felw over head, then dimmed and disappeared before leaving range of sight","Breda","NL",""
"120587","2022-01-29","2022-01-27","I show 2 triangles shape with green lights","St Louis","MO, US",""
"120586","2022-01-29","2022-01-27","A giant rectangle of blinking lights.","Barney","GA, US",""
"120585","2022-01-29","2012-07-04","Saw over campsite","Bradford","PA, US",""
"120584","2022-01-29","2022-01-20","My 10 year old boy and his friend, Chase, witnessed multiple bogies entering the atmosphere at super sonic speed (sonic boom) then hovering 1 landing","Hillsboro","OR, US",""
"120583","2022-01-29","2021-12-30","Watches everyone and has always and stuck here here","Park Hills","MO, US",""
"120582","2022-01-29","2021-06-16","It was a cloud with blinking lights but it was self-propelled like it was alive","North Charleston","SC, US",""
"120581","2022-01-29","2020-12-07","I have video","Durham","CT, US",""
"120580","2022-01-29","2022-01-28","On porch, circular glow not particularly bright hovered and dropped out of sight. Too bizarre:submitted hoping other witnesses did the same.","Grants Pass","OR, US",""
